parliament_id;leg_period_start;leg_period_end;level;country_abb;region_abb;leg_period;assembly_name;assembly_abb;coalition_parties;previous_parliament;next_parliament
DE_RE-NW_1990;31may1990;31may1995;RE;DE;NW;11;Landtag;LT;;DE_RE-NW_1985;DE_RE-NW_1995
DE_RE-NW_1995;01jun1995;01jun2000;RE;DE;NW;12;Landtag;LT;;DE_RE-NW_1990;DE_RE-NW_2000
DE_RE-NW_2000;02jun2000;02jun2005;RE;DE;NW;13;Landtag;LT;;DE_RE-NW_1995;DE_RE-NW_2005
DE_RE-NW_2005;08jun2005;08jun2010;RE;DE;NW;14;Landtag;LT;;DE_RE-NW_2000;DE_RE-NW_2010
DE_RE-NW_2010;09jun2010;14mar2012;RE;DE;NW;15;Landtag;LT;;DE_RE-NW_2005;DE_RE-NW_2012
DE_RE-NW_2012;31may2012;31may2017;RE;DE;NW;16;Landtag;LT;;DE_RE-NW_2010;DE_RE-NW_2017
DE_RE-NW_2017;01jun2017;NC;RE;DE;NW;17;Landtag;LT;;DE_RE-NW_2012;NC
DE_RE-RP_1947;18may1947;17may1951;RE;DE;RP;1;Landtag;LT;;NA;DE_RE-RP_1951
DE_RE-RP_1951;18may1951;17may1955;RE;DE;RP;2;Landtag;LT;;DE_RE-RP_1947;DE_RE-RP_1955
DE_RE-RP_1955;18may1955;17may1959;RE;DE;RP;3;Landtag;LT;;DE_RE-RP_1951;DE_RE-RP_1959
DE_RE-RP_1959;18may1959;17may1963;RE;DE;RP;4;Landtag;LT;;DE_RE-RP_1955;DE_RE-RP_1963
DE_RE-RP_1963;18may1963;17may1967;RE;DE;RP;5;Landtag;LT;;DE_RE-RP_1959;DE_RE-RP_1967
DE_RE-RP_1967;18may1967;17may1971;RE;DE;RP;6;Landtag;LT;;DE_RE-RP_1963;DE_RE-RP_1971
DE_RE-RP_1971;18may1971;17may1975;RE;DE;RP;7;Landtag;LT;;DE_RE-RP_1967;DE_RE-RP_1975
DE_RE-RP_1975;18may1975;17may1979;RE;DE;RP;8;Landtag;LT;;DE_RE-RP_1971;DE_RE-RP_1979
DE_RE-RP_1979;18may1979;17may1983;RE;DE;RP;9;Landtag;LT;;DE_RE-RP_1975;DE_RE-RP_1983
DE_RE-RP_1983;18may1983;17may1987;RE;DE;RP;10;Landtag;LT;;DE_RE-RP_1979;DE_RE-RP_1987
DE_RE-RP_1987;18may1987;17may1991;RE;DE;RP;11;Landtag;LT;;DE_RE-RP_1983;DE_RE-RP_1991
DE_RE-RP_1991;18may1991;17may1996;RE;DE;RP;12;Landtag;LT;;DE_RE-RP_1987;DE_RE-RP_1996
DE_RE-RP_1996;18may1996;17may2001;RE;DE;RP;13;Landtag;LT;;DE_RE-RP_1991;DE_RE-RP_2001
DE_RE-RP_2001;18may2001;17may2006;RE;DE;RP;14;Landtag;LT;;DE_RE-RP_1996;DE_RE-RP_2006
DE_RE-RP_2006;18may2006;17may2011;RE;DE;RP;15;Landtag;LT;;DE_RE-RP_2001;DE_RE-RP_2011
DE_RE-RP_2011;18may2011;17may2016;RE;DE;RP;16;Landtag;LT;;DE_RE-RP_2006;DE_RE-RP_2016
DE_RE-RP_2016;18may2016;NC;RE;DE;RP;17;Landtag;LT;;DE_RE-RP_2011;NC
DE_RE-SL_1947;14dec1947;15dec1952;RE;DE;SL;1;Landtag;LT;;NA;DE_RE-SL_1952
DE_RE-SL_1952;1952;17dec1955;RE;DE;SL;2;Landtag;LT;;DE_RE-SL_1947;DE_RE-SL_1955
DE_RE-SL_1955;1955;02jan1961;RE;DE;SL;3;Landtag;LT;;DE_RE-SL_1952;DE_RE-SL_1960
DE_RE-SL_1960;1960;30jun1965;RE;DE;SL;4;Landtag;LT;;DE_RE-SL_1955;DE_RE-SL_1965
DE_RE-SL_1965;1965;10jul1970;RE;DE;SL;5;Landtag;LT;;DE_RE-SL_1960;DE_RE-SL_1970
